Acc1_LR_UCIHAR,Acc2_LDA_UCIHAR,Acc3_KNN_UCIHAR,Acc4_DTC_UCIHAR,Acc5_GNB_UCIHAR,Acc6_SVM_UCIHAR,Acc7_RF_UCIHAR,Acc8_XG_UCIHAR
0.8136054422,0.812244898,0.9115646259,0.8993197279,0.6612244898,0.812244898,0.9210884354,0.9319727891
0.8421768707,0.8367346939,0.9360544218,0.9074829932,0.6394557823,0.8448979592,0.9442176871,0.9605442177
0.8,0.7986394558,0.9129251701,0.8693877551,0.6258503401,0.8068027211,0.9210884354,0.9360544218
0.8136054422,0.812244898,0.9265306122,0.9088435374,0.6272108844,0.8204081633,0.937414966,0.9428571429
0.8285714286,0.8244897959,0.9455782313,0.9183673469,0.6163265306,0.831292517,0.9537414966,0.956462585
0.812244898,0.8108843537,0.9265306122,0.9034013605,0.6462585034,0.8163265306,0.9360544218,0.9401360544
0.8272108844,0.8272108844,0.9224489796,0.8952380952,0.6489795918,0.8353741497,0.937414966,0.937414966
0.8013605442,0.7959183673,0.9129251701,0.8693877551,0.6326530612,0.8068027211,0.9183673469,0.9360544218
0.812244898,0.8081632653,0.9333333333,0.9088435374,0.6258503401,0.8176870748,0.9428571429,0.956462585
0.7959183673,0.7972789116,0.9156462585,0.8979591837,0.6639455782,0.8013605442,0.9346938776,0.9414965986
