ACC1_LR_SISFALL,ACC2_LDA_SISFALL,ACC3_KNN_SISFALL,ACC4_DTC_SISFALL,ACC5_GNB_SISFALL,ACC6_SVM_SISFALL,ACC7_RF_SISFALL,ACC8_XG_SISFALL
0.7019381875,0.7265584075,0.9895233106,0.9711891042,0.7674174961,0.9476165532,0.9827134625,0.9858564694
0.7291775799,0.759559979,0.9889994762,0.9764274489,0.7537977999,0.9481403876,0.9827134625,0.9811419591
0.7040335254,0.7585123101,0.992142483,0.9711891042,0.7600838135,0.9607124149,0.9905709796,0.991094814
0.7244630697,0.7480356207,0.9863803038,0.9685699319,0.7569408067,0.9539025668,0.9806181247,0.983237297
0.734939759,0.751702462,0.9889994762,0.9722367732,0.7742273442,0.9455212153,0.9869041383,0.9869041383
0.7391304348,0.7454164484,0.9905709796,0.9779989523,0.7422734416,0.9591409115,0.9853326349,0.9848088004
0.7197485595,0.7365112624,0.9837611315,0.9649030906,0.7616553169,0.9512833944,0.9785227868,0.9811419591
0.7826086957,0.7611314825,0.9884756417,0.9701414353,0.7637506548,0.9470927187,0.984284966,0.9879518072
0.752750131,0.7475117863,0.9863803038,0.9659507596,0.7548454688,0.9491880566,0.984284966,0.9895233106
0.7082242012,0.7380827658,0.992142483,0.9759036145,0.760607648,0.9559979047,0.9821896281,0.9874279728
