Acc1_LR_UCIHAR,Acc2_LDA_UCIHAR,Acc3_KNN_UCIHAR,Acc4_DTC_UCIHAR,Acc5_GNB_UCIHAR,Acc6_SVM_UCIHAR,Acc7_RF_UCIHAR,Acc8_XG_UCIHAR
0.8057065217,0.8016304348,0.9266304348,0.9144021739,0.6535326087,0.808423913,0.9402173913,0.9456521739
0.8285714286,0.8244897959,0.9265306122,0.9210884354,0.6340136054,0.8285714286,0.9482993197,0.9632653061
0.8081632653,0.8068027211,0.9210884354,0.8965986395,0.6367346939,0.812244898,0.9224489796,0.9306122449
0.8054421769,0.8095238095,0.9156462585,0.874829932,0.6326530612,0.812244898,0.9292517007,0.9278911565
0.8408163265,0.8367346939,0.9360544218,0.9006802721,0.6095238095,0.843537415,0.937414966,0.9496598639
0.8163265306,0.812244898,0.9292517007,0.8952380952,0.6489795918,0.8204081633,0.937414966,0.9414965986
0.8285714286,0.8272108844,0.9170068027,0.8925170068,0.6421768707,0.8380952381,0.9346938776,0.9387755102
0.7945578231,0.7931972789,0.9102040816,0.8775510204,0.631292517,0.8013605442,0.9265306122,0.9360544218
0.8163265306,0.8136054422,0.9333333333,0.9047619048,0.6326530612,0.8244897959,0.9387755102,0.956462585
0.8013605442,0.7986394558,0.9346938776,0.9020408163,0.6666666667,0.8054421769,0.937414966,0.9414965986
